"","GW","id","home","team_h","away","team_a","finished","kickoff","team_h_score","team_a_score"
"1",1,1,"BRE",3,"ARS",1,TRUE,"2021-08-13T19:00:00Z",2,0
"2",1,6,"MUN",13,"LEE",10,TRUE,"2021-08-14T11:30:00Z",5,1
"3",1,2,"BUR",5,"BHA",4,TRUE,"2021-08-14T14:00:00Z",1,2
"4",1,3,"CHE",6,"CRY",7,TRUE,"2021-08-14T14:00:00Z",3,0
"5",1,4,"EVE",8,"SOU",16,TRUE,"2021-08-14T14:00:00Z",3,1
"6",1,5,"LEI",9,"WOL",20,TRUE,"2021-08-14T14:00:00Z",1,0
"7",1,8,"WAT",18,"AVL",2,TRUE,"2021-08-14T14:00:00Z",3,2
"8",1,7,"NOR",15,"LIV",11,TRUE,"2021-08-14T16:30:00Z",0,3
"9",1,9,"NEW",14,"WHU",19,TRUE,"2021-08-15T13:00:00Z",2,4
"10",1,10,"TOT",17,"MCI",12,TRUE,"2021-08-15T15:30:00Z",1,0
"11",2,15,"LIV",11,"BUR",5,TRUE,"2021-08-21T11:30:00Z",2,0
"12",2,11,"AVL",2,"NEW",14,TRUE,"2021-08-21T14:00:00Z",2,0
"13",2,13,"CRY",7,"BRE",3,TRUE,"2021-08-21T14:00:00Z",0,0
"14",2,14,"LEE",10,"EVE",8,TRUE,"2021-08-21T14:00:00Z",2,2
"15",2,16,"MCI",12,"NOR",15,TRUE,"2021-08-21T14:00:00Z",5,0
"16",2,12,"BHA",4,"WAT",18,TRUE,"2021-08-21T16:30:00Z",2,0
"17",2,19,"SOU",16,"MUN",13,TRUE,"2021-08-22T13:00:00Z",1,1
"18",2,17,"WOL",20,"TOT",17,TRUE,"2021-08-22T13:00:00Z",0,1
"19",2,18,"ARS",1,"CHE",6,TRUE,"2021-08-22T15:30:00Z",0,2
"20",2,20,"WHU",19,"LEI",9,TRUE,"2021-08-23T19:00:00Z",4,1
"21",3,24,"MCI",12,"ARS",1,TRUE,"2021-08-28T11:30:00Z",5,0
"22",3,21,"AVL",2,"BRE",3,TRUE,"2021-08-28T14:00:00Z",1,1
"23",3,22,"BHA",4,"EVE",8,TRUE,"2021-08-28T14:00:00Z",0,2
"24",3,25,"NEW",14,"SOU",16,TRUE,"2021-08-28T14:00:00Z",2,2
"25",3,26,"NOR",15,"LEI",9,TRUE,"2021-08-28T14:00:00Z",1,2
"26",3,28,"WHU",19,"CRY",7,TRUE,"2021-08-28T14:00:00Z",2,2
"27",3,23,"LIV",11,"CHE",6,TRUE,"2021-08-28T16:30:00Z",1,1
"28",3,29,"BUR",5,"LEE",10,TRUE,"2021-08-29T13:00:00Z",1,1
"29",3,27,"TOT",17,"WAT",18,TRUE,"2021-08-29T13:00:00Z",1,0
"30",3,30,"WOL",20,"MUN",13,TRUE,"2021-08-29T15:30:00Z",0,1
"31",4,34,"CRY",7,"TOT",17,TRUE,"2021-09-11T11:30:00Z",3,0
"32",4,31,"ARS",1,"NOR",15,TRUE,"2021-09-11T14:00:00Z",1,0
"33",4,32,"BRE",3,"BHA",4,TRUE,"2021-09-11T14:00:00Z",0,1
"34",4,37,"LEI",9,"MCI",12,TRUE,"2021-09-11T14:00:00Z",0,1
"35",4,38,"MUN",13,"NEW",14,TRUE,"2021-09-11T14:00:00Z",4,1
"36",4,39,"SOU",16,"WHU",19,TRUE,"2021-09-11T14:00:00Z",0,0
"37",4,40,"WAT",18,"WOL",20,TRUE,"2021-09-11T14:00:00Z",0,2
"38",4,33,"CHE",6,"AVL",2,TRUE,"2021-09-11T16:30:00Z",3,0
"39",4,36,"LEE",10,"LIV",11,TRUE,"2021-09-12T15:30:00Z",0,3
"40",4,35,"EVE",8,"BUR",5,TRUE,"2021-09-13T19:00:00Z",3,1
"41",5,46,"NEW",14,"LEE",10,TRUE,"2021-09-17T19:00:00Z",1,1
"42",5,50,"WOL",20,"BRE",3,TRUE,"2021-09-18T11:30:00Z",0,2
"43",5,43,"BUR",5,"ARS",1,TRUE,"2021-09-18T14:00:00Z",0,1
"44",5,44,"LIV",11,"CRY",7,TRUE,"2021-09-18T14:00:00Z",3,0
"45",5,45,"MCI",12,"SOU",16,TRUE,"2021-09-18T14:00:00Z",0,0
"46",5,47,"NOR",15,"WAT",18,TRUE,"2021-09-18T14:00:00Z",1,3
"47",5,41,"AVL",2,"EVE",8,TRUE,"2021-09-18T16:30:00Z",3,0
"48",5,42,"BHA",4,"LEI",9,TRUE,"2021-09-19T13:00:00Z",2,1
"49",5,49,"WHU",19,"MUN",13,TRUE,"2021-09-19T13:00:00Z",1,2
"50",5,48,"TOT",17,"CHE",6,TRUE,"2021-09-19T15:30:00Z",0,3
"51",6,53,"CHE",6,"MCI",12,TRUE,"2021-09-25T11:30:00Z",0,1
"52",6,58,"MUN",13,"AVL",2,TRUE,"2021-09-25T11:30:00Z",0,1
"53",6,55,"EVE",8,"NOR",15,TRUE,"2021-09-25T14:00:00Z",2,0
"54",6,56,"LEE",10,"WHU",19,TRUE,"2021-09-25T14:00:00Z",1,2
"55",6,57,"LEI",9,"BUR",5,TRUE,"2021-09-25T14:00:00Z",2,2
"56",6,60,"WAT",18,"NEW",14,TRUE,"2021-09-25T14:00:00Z",1,1
"57",6,52,"BRE",3,"LIV",11,TRUE,"2021-09-25T16:30:00Z",3,3
"58",6,59,"SOU",16,"WOL",20,TRUE,"2021-09-26T13:00:00Z",0,1
"59",6,51,"ARS",1,"TOT",17,TRUE,"2021-09-26T15:30:00Z",3,1
"60",6,54,"CRY",7,"BHA",4,TRUE,"2021-09-27T19:00:00Z",1,1
"61",7,67,"MUN",13,"EVE",8,TRUE,"2021-10-02T11:30:00Z",1,1
"62",7,62,"BUR",5,"NOR",15,TRUE,"2021-10-02T14:00:00Z",0,0
"63",7,63,"CHE",6,"SOU",16,TRUE,"2021-10-02T14:00:00Z",3,1
"64",7,65,"LEE",10,"WAT",18,TRUE,"2021-10-02T14:00:00Z",1,0
"65",7,70,"WOL",20,"NEW",14,TRUE,"2021-10-02T14:00:00Z",2,1
"66",7,61,"BHA",4,"ARS",1,TRUE,"2021-10-02T16:30:00Z",0,0
"67",7,64,"CRY",7,"LEI",9,TRUE,"2021-10-03T13:00:00Z",2,2
"68",7,68,"TOT",17,"AVL",2,TRUE,"2021-10-03T13:00:00Z",2,1
"69",7,69,"WHU",19,"BRE",3,TRUE,"2021-10-03T13:00:00Z",1,2
"70",7,66,"LIV",11,"MCI",12,TRUE,"2021-10-03T15:30:00Z",2,2
"71",8,80,"WAT",18,"LIV",11,TRUE,"2021-10-16T11:30:00Z",0,5
"72",8,72,"AVL",2,"WOL",20,TRUE,"2021-10-16T14:00:00Z",2,3
"73",8,75,"LEI",9,"MUN",13,TRUE,"2021-10-16T14:00:00Z",4,2
"74",8,76,"MCI",12,"BUR",5,TRUE,"2021-10-16T14:00:00Z",2,0
"75",8,78,"NOR",15,"BHA",4,TRUE,"2021-10-16T14:00:00Z",0,0
"76",8,79,"SOU",16,"LEE",10,TRUE,"2021-10-16T14:00:00Z",1,0
"77",8,73,"BRE",3,"CHE",6,TRUE,"2021-10-16T16:30:00Z",0,1
"78",8,74,"EVE",8,"WHU",19,TRUE,"2021-10-17T13:00:00Z",0,1
