"","GW","id","home","team_h","away","team_a","finished","kickoff","team_h_score","team_a_score"
"1",1,2,"FUL",8,"ARS",1,TRUE,"2020-09-12T11:30:00Z",0,3
"2",1,1,"CRY",6,"SOU",16,TRUE,"2020-09-12T14:00:00Z",1,0
"3",1,3,"LIV",11,"LEE",10,TRUE,"2020-09-12T16:30:00Z",4,3
"4",1,6,"WHU",19,"NEW",14,TRUE,"2020-09-12T19:00:00Z",0,2
"5",1,5,"WBA",18,"LEI",9,TRUE,"2020-09-13T13:00:00Z",0,3
"6",1,4,"TOT",17,"EVE",7,TRUE,"2020-09-13T15:30:00Z",0,1
"7",1,8,"SHU",15,"WOL",20,TRUE,"2020-09-14T17:00:00Z",0,2
"8",1,7,"BHA",3,"CHE",5,TRUE,"2020-09-14T19:15:00Z",1,3
"9",2,12,"EVE",7,"WBA",18,TRUE,"2020-09-19T11:30:00Z",5,2
"10",2,13,"LEE",10,"FUL",8,TRUE,"2020-09-19T14:00:00Z",4,3
"11",2,15,"MUN",13,"CRY",6,TRUE,"2020-09-19T16:30:00Z",1,3
"12",2,9,"ARS",1,"WHU",19,TRUE,"2020-09-19T19:00:00Z",2,1
"13",2,17,"SOU",16,"TOT",17,TRUE,"2020-09-20T11:00:00Z",2,5
"14",2,16,"NEW",14,"BHA",3,TRUE,"2020-09-20T13:00:00Z",0,3
"15",2,11,"CHE",5,"LIV",11,TRUE,"2020-09-20T15:30:00Z",0,2
"16",2,14,"LEI",9,"BUR",4,TRUE,"2020-09-20T18:00:00Z",4,2
"17",2,10,"AVL",2,"SHU",15,TRUE,"2020-09-21T17:00:00Z",1,0
"18",2,18,"WOL",20,"MCI",12,TRUE,"2020-09-21T19:15:00Z",1,3
"19",3,19,"BHA",3,"MUN",13,TRUE,"2020-09-26T11:30:00Z",2,3
"20",3,21,"CRY",6,"EVE",7,TRUE,"2020-09-26T14:00:00Z",1,2
"21",3,27,"WBA",18,"CHE",5,TRUE,"2020-09-26T16:30:00Z",3,3
"22",3,20,"BUR",4,"SOU",16,TRUE,"2020-09-26T19:00:00Z",0,1
"23",3,25,"SHU",15,"LEE",10,TRUE,"2020-09-27T11:00:00Z",0,1
"24",3,26,"TOT",17,"NEW",14,TRUE,"2020-09-27T13:00:00Z",1,1
"25",3,24,"MCI",12,"LEI",9,TRUE,"2020-09-27T15:30:00Z",2,5
"26",3,28,"WHU",19,"WOL",20,TRUE,"2020-09-27T18:00:00Z",4,0
"27",3,22,"FUL",8,"AVL",2,TRUE,"2020-09-28T16:45:00Z",0,3
"28",3,23,"LIV",11,"ARS",1,TRUE,"2020-09-28T19:00:00Z",3,1
"29",4,31,"CHE",5,"CRY",6,TRUE,"2020-10-03T11:30:00Z",4,0
"30",4,32,"EVE",7,"BHA",3,TRUE,"2020-10-03T14:00:00Z",4,2
"31",4,33,"LEE",10,"MCI",12,TRUE,"2020-10-03T16:30:00Z",1,1
"32",4,36,"NEW",14,"BUR",4,TRUE,"2020-10-03T19:00:00Z",3,1
"33",4,34,"LEI",9,"WHU",19,TRUE,"2020-10-04T11:00:00Z",0,3
"34",4,37,"SOU",16,"WBA",18,TRUE,"2020-10-04T11:00:00Z",2,0
"35",4,29,"ARS",1,"SHU",15,TRUE,"2020-10-04T13:00:00Z",2,1
"36",4,38,"WOL",20,"FUL",8,TRUE,"2020-10-04T13:00:00Z",1,0
"37",4,35,"MUN",13,"TOT",17,TRUE,"2020-10-04T15:30:00Z",1,6
"38",4,30,"AVL",2,"LIV",11,TRUE,"2020-10-04T18:15:00Z",7,2
"39",5,41,"EVE",7,"LIV",11,TRUE,"2020-10-17T11:30:00Z",2,2
"40",5,39,"CHE",5,"SOU",16,TRUE,"2020-10-17T14:00:00Z",3,3
"41",5,44,"MCI",12,"ARS",1,TRUE,"2020-10-17T16:30:00Z",1,0
"42",5,45,"NEW",14,"MUN",13,TRUE,"2020-10-17T19:00:00Z",1,4
"43",5,46,"SHU",15,"FUL",8,TRUE,"2020-10-18T11:00:00Z",1,1
"44",5,40,"CRY",6,"BHA",3,TRUE,"2020-10-18T13:00:00Z",1,1
"45",5,47,"TOT",17,"WHU",19,TRUE,"2020-10-18T15:30:00Z",3,3
"46",5,43,"LEI",9,"AVL",2,TRUE,"2020-10-18T18:15:00Z",0,1
"47",5,48,"WBA",18,"BUR",4,TRUE,"2020-10-19T16:30:00Z",0,0
"48",5,42,"LEE",10,"WOL",20,TRUE,"2020-10-19T19:00:00Z",0,1
"49",6,50,"AVL",2,"LEE",10,TRUE,"2020-10-23T19:00:00Z",0,3
"50",6,57,"WHU",19,"MCI",12,TRUE,"2020-10-24T11:30:00Z",1,1
"51",6,53,"FUL",8,"CRY",6,TRUE,"2020-10-24T14:00:00Z",1,2
