"","id","name","deadline_time","average_entry_score","finished","data_checked","highest_scoring_entry","deadline_time_epoch","deadline_time_game_offset","highest_score","is_previous","is_current","is_next","chip_name","num_played","most_selected","most_transferred_in","top_element","top_element_info.id","top_element_info.points","transfers_made","most_captained","most_vice_captained"
"1", 1,"Gameweek 1","2020-09-12T10:00:00Z",50,TRUE,TRUE,4761681,1599904800,0,142,FALSE,FALSE,FALSE,"bboost", 112843,259, 12,254,254, 20,       0,  4,  4
"2", 1,"Gameweek 1","2020-09-12T10:00:00Z",50,TRUE,TRUE,4761681,1599904800,0,142,FALSE,FALSE,FALSE,"3xc", 225426,259, 12,254,254, 20,       0,  4,  4
"3", 2,"Gameweek 2","2020-09-19T10:00:00Z",59,TRUE,TRUE,6234344,1600509600,0,165,FALSE,FALSE,FALSE,"bboost",  94615,259,302,390,390, 24,14637421,  4,254
"4", 2,"Gameweek 2","2020-09-19T10:00:00Z",59,TRUE,TRUE,6234344,1600509600,0,165,FALSE,FALSE,FALSE,"freehit", 111968,259,302,390,390, 24,14637421,  4,254
"5", 2,"Gameweek 2","2020-09-19T10:00:00Z",59,TRUE,TRUE,6234344,1600509600,0,165,FALSE,FALSE,FALSE,"wildcard", 494000,259,302,390,390, 24,14637421,  4,254
"6", 2,"Gameweek 2","2020-09-19T10:00:00Z",59,TRUE,TRUE,6234344,1600509600,0,165,FALSE,FALSE,FALSE,"3xc", 221133,259,302,390,390, 24,14637421,  4,254
"7", 3,"Gameweek 3","2020-09-26T10:00:00Z",43,TRUE,TRUE,6223553,1601114400,0,119,FALSE,FALSE,FALSE,"bboost",  86797,259,164,224,224, 17,20387878,272,254
"8", 3,"Gameweek 3","2020-09-26T10:00:00Z",43,TRUE,TRUE,6223553,1601114400,0,119,FALSE,FALSE,FALSE,"freehit", 155467,259,164,224,224, 17,20387878,272,254
"9", 3,"Gameweek 3","2020-09-26T10:00:00Z",43,TRUE,TRUE,6223553,1601114400,0,119,FALSE,FALSE,FALSE,"wildcard", 681997,259,164,224,224, 17,20387878,272,254
"10", 3,"Gameweek 3","2020-09-26T10:00:00Z",43,TRUE,TRUE,6223553,1601114400,0,119,FALSE,FALSE,FALSE,"3xc", 177478,259,164,224,224, 17,20387878,272,254
"11", 4,"Gameweek 4","2020-10-03T10:00:00Z",48,TRUE,TRUE,6563000,1601719200,0,160,FALSE,FALSE,FALSE,"bboost",  82267,272,164, 37, 37, 24,14570655,254,272
"12", 4,"Gameweek 4","2020-10-03T10:00:00Z",48,TRUE,TRUE,6563000,1601719200,0,160,FALSE,FALSE,FALSE,"freehit", 131861,272,164, 37, 37, 24,14570655,254,272
"13", 4,"Gameweek 4","2020-10-03T10:00:00Z",48,TRUE,TRUE,6563000,1601719200,0,160,FALSE,FALSE,FALSE,"wildcard", 420437,272,164, 37, 37, 24,14570655,254,272
"14", 4,"Gameweek 4","2020-10-03T10:00:00Z",48,TRUE,TRUE,6563000,1601719200,0,160,FALSE,FALSE,FALSE,"3xc", 171134,272,164, 37, 37, 24,14570655,254,272
"15", 5,"Gameweek 5","2020-10-17T10:00:00Z",60,TRUE,TRUE,7124486,1602928800,0,136,FALSE,FALSE,FALSE,"bboost",  80554,164,390,117,117, 16,18391649,390,254
"16", 5,"Gameweek 5","2020-10-17T10:00:00Z",60,TRUE,TRUE,7124486,1602928800,0,136,FALSE,FALSE,FALSE,"freehit", 161926,164,390,117,117, 16,18391649,390,254
"17", 5,"Gameweek 5","2020-10-17T10:00:00Z",60,TRUE,TRUE,7124486,1602928800,0,136,FALSE,FALSE,FALSE,"wildcard", 599860,164,390,117,117, 16,18391649,390,254
"18", 5,"Gameweek 5","2020-10-17T10:00:00Z",60,TRUE,TRUE,7124486,1602928800,0,136,FALSE,FALSE,FALSE,"3xc", 114707,164,390,117,117, 16,18391649,390,254
"19", 6,"Gameweek 6","2020-10-23T17:30:00Z",48,TRUE,TRUE,4289106,1603474200,0,123,FALSE,FALSE,FALSE,"bboost",  58697,164,388,202,202, 17,12707803,254,390
"20", 6,"Gameweek 6","2020-10-23T17:30:00Z",48,TRUE,TRUE,4289106,1603474200,0,123,FALSE,FALSE,FALSE,"freehit", 118050,164,388,202,202, 17,12707803,254,390
"21", 6,"Gameweek 6","2020-10-23T17:30:00Z",48,TRUE,TRUE,4289106,1603474200,0,123,FALSE,FALSE,FALSE,"wildcard", 384670,164,388,202,202, 17,12707803,254,390
"22", 6,"Gameweek 6","2020-10-23T17:30:00Z",48,TRUE,TRUE,4289106,1603474200,0,123,FALSE,FALSE,FALSE,"3xc", 160028,164,388,202,202, 17,12707803,254,390
"23", 7,"Gameweek 7","2020-10-30T18:30:00Z",53,TRUE,TRUE,6909580,1604082600,0,131,FALSE,FALSE,FALSE,"bboost",  68374,390,232,370,370, 17, 8811577,388,390
"24", 7,"Gameweek 7","2020-10-30T18:30:00Z",53,TRUE,TRUE,6909580,1604082600,0,131,FALSE,FALSE,FALSE,"freehit",  66726,390,232,370,370, 17, 8811577,388,390
"25", 7,"Gameweek 7","2020-10-30T18:30:00Z",53,TRUE,TRUE,6909580,1604082600,0,131,FALSE,FALSE,FALSE,"wildcard", 159972,390,232,370,370, 17, 8811577,388,390
"26", 7,"Gameweek 7","2020-10-30T18:30:00Z",53,TRUE,TRUE,6909580,1604082600,0,131,FALSE,FALSE,FALSE,"3xc", 146112,390,232,370,370, 17, 8811577,388,390
"27", 8,"Gameweek 8","2020-11-06T16:00:00Z",55,TRUE,TRUE, 601887,1604678400,0,133,FALSE,FALSE,FALSE,"bboost",  76086,390,110,302,302, 17, 9570772,388,390
"28", 8,"Gameweek 8","2020-11-06T16:00:00Z",55,TRUE,TRUE, 601887,1604678400,0,133,FALSE,FALSE,FALSE,"freehit",  86496,390,110,302,302, 17, 9570772,388,390
"29", 8,"Gameweek 8","2020-11-06T16:00:00Z",55,TRUE,TRUE, 601887,1604678400,0,133,FALSE,FALSE,FALSE,"wildcard", 144543,390,110,302,302, 17, 9570772,388,390
"30", 8,"Gameweek 8","2020-11-06T16:00:00Z",55,TRUE,TRUE, 601887,1604678400,0,133,FALSE,FALSE,FALSE,"3xc", 148254,390,110,302,302, 17, 9570772,388,390
