"","chance_of_playing_next_round","chance_of_playing_this_round","code","cost_change_event","cost_change_event_fall","cost_change_start","cost_change_start_fall","dreamteam_count","element_type","ep_next","ep_this","event_points","first_name","form","id","in_dreamteam","news","news_added","now_cost","photo","points_per_game","second_name","selected_by_percent","special","squad_number","status","team","team_code","total_points","transfers_in","transfers_in_event","transfers_out","transfers_out_event","value_form","value_season","web_name","minutes","goals_scored","assists","clean_sheets","goals_conceded","own_goals","penalties_saved","penalties_missed","yellow_cards","red_cards","saves","bonus","bps","influence","creativity","threat","ict_index","influence_rank","influence_rank_type","creativity_rank","creativity_rank_type","threat_rank","threat_rank_type","ict_index_rank","ict_index_rank_type","playername"
"11",100,100,54694,0,0,-1,1,5,4,"5.7","7.2",16,"Pierre-Emerick","6.7",11,TRUE,"","2020-01-08T14:00:18.333339Z",109,"54694.jpg","5.7","Aubameyang","22.4",FALSE,NA,"a",1,3,205,3870546,0,4120318,0,"0.6","18.8","Aubameyang",3136,22,5,10,44,0,0,0,3,1,0,37,807,"1006.0","479.6","1369.0","285.2",9,3,61,5,9,7,11,5,"Pierre-Emerick Aubameyang"
"12",100,100,59966,0,0,-3,3,2,4,"5.5","5.4",4,"Alexandre","4.9",12,FALSE,"","2019-09-01T18:30:14.246208Z",92,"59966.jpg","3.9","Lacazette","2.4",FALSE,NA,"a",1,3,118,458912,0,551879,0,"0.5","12.8","Lacazette",1867,10,7,5,25,0,0,0,8,0,0,16,387,"536.4","337.7","861.0","173.8",112,15,124,19,35,19,50,19,"Alexandre Lacazette"
"13",100,100,205533,0,0,-2,2,0,4,"1.0","1.1",1,"Edward","0.6",13,FALSE,"","2020-07-07T22:00:20.841098Z",43,"205533.jpg","1.9","Nketiah","1.6",FALSE,NA,"a",1,3,25,338091,0,333897,0,"0.1","5.8","Nketiah",628,2,0,3,9,0,0,0,0,1,0,1,66,"90.4","67.0","210.0","36.4",389,48,319,49,191,52,340,51,"Edward Nketiah"
"14",0,0,80201,0,0,-2,2,1,1,"0.0","0.0",0,"Bernd","0.0",14,FALSE,"Knee injury - Expected back 01 Aug","2020-06-20T16:00:17.901135Z",48,"80201.jpg","3.8","Leno","4.2",FALSE,NA,"i",1,3,114,737120,0,865543,0,"0.0","23.8","Leno",2649,0,0,7,39,0,1,0,2,0,113,10,591,"843.2","0.0","0.0","84.1",25,8,635,66,629,63,190,8,"Bernd Leno"
"15",100,100,37605,0,0,-6,6,0,3,"0.5","0.5",0,"Mesut","0.0",15,FALSE,"","2020-06-28T19:30:23.392750Z",69,"37605.jpg","2.9","Özil","1.1",FALSE,NA,"a",1,3,53,246324,0,307866,0,"0.0","7.7","Özil",1439,1,3,5,20,0,0,0,1,0,0,1,256,"223.6","582.9","190.0","99.8",300,126,39,32,205,110,153,79,"Mesut Özil"
"16",0,0,57249,0,0,-3,3,0,3,"0.0","0.0",0,"Henrikh","0.0",16,FALSE,"Joined Roma on loan until the end of the season on 2/9. - Expected back 01 Aug","2019-09-02T23:30:14.832021Z",67,"57249.jpg","1.3","Mkhitaryan","0.7",FALSE,NA,"n",1,3,4,23270,0,117383,0,"0.0","0.6","Mkhitaryan",110,0,0,1,0,0,0,0,1,0,0,0,3,"5.4","33.9","46.0","8.6",480,203,371,184,355,170,431,185,"Henrikh Mkhitaryan"
"17",100,100,84450,0,0,-4,4,0,3,"4.0","3.6",1,"Granit","3.1",18,FALSE,"","2020-06-17T22:00:16.575871Z",51,"84450.jpg","2.4","Xhaka","0.8",FALSE,NA,"a",1,3,73,82616,0,138134,0,"0.6","14.3","Xhaka",2586,1,2,10,31,0,0,0,10,0,0,2,408,"486.2","298.5","110.0","89.9",140,53,140,86,267,136,177,90,"Granit Xhaka"
"18",100,100,198849,0,0,-3,3,0,3,"0.7","0.8",1,"Lucas","0.3",19,FALSE,"","2020-06-19T01:30:19.551092Z",47,"198849.jpg","1.6","Torreira","1.0",FALSE,NA,"a",1,3,46,100266,0,181492,0,"0.1","9.8","Torreira",1501,1,1,3,23,0,0,0,7,0,0,0,247,"281.8","207.1","207.0","69.7",254,103,194,122,195,104,234,115,"Lucas Torreira"
"19",0,0,153256,0,0,-3,3,6,3,"0.0","0.0",0,"Mohamed","0.0",20,FALSE,"Joined Besiktas on loan until the end of the season on 31/8. - Expected back 01 Aug","2019-08-31T11:30:14.714406Z",42,"153256.jpg","0.0","Elneny","0.5",FALSE,NA,"n",1,3,0,131138,0,132596,0,"0.0","0.0","Elneny",0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",567,219,551,220,525,209,569,222,"Mohamed Elneny"
"20",NA,NA,242166,0,0,-4,4,0,3,"0.5","0.5",0,"Matteo","0.0",21,FALSE,"",NA,41,"242166.jpg","2.0","Guendouzi","7.1",FALSE,NA,"a",1,3,48,1307827,0,1222099,0,"0.0","11.7","Guendouzi",1744,0,2,3,31,0,0,0,6,0,0,2,272,"333.6","235.1","146.0","71.6",222,90,177,111,240,126,225,112,"Matteo Guendouzi"
"21",100,100,41270,0,0,-3,3,2,2,"3.3","3.1",1,"David","2.6",106,FALSE,"","2020-06-28T16:30:14.772979Z",57,"41270.jpg","2.8","Luiz Moreira Marinho","5.1",FALSE,NA,"a",1,3,94,352377,0,653363,0,"0.5","16.5","David Luiz",2809,2,1,8,42,0,0,0,5,2,0,10,494,"701.6","106.7","211.0","102.1",53,18,271,78,190,37,148,39,"David Luiz Moreira Marinho"
"22",NA,NA,98980,0,0,-1,1,0,1,"4.3","3.9",1,"Emiliano","3.4",427,FALSE,"",NA,44,"98980.jpg","3.7","Martínez","3.8",FALSE,NA,"a",1,3,33,313870,0,59208,0,"0.8","7.5","Martínez",770,0,0,3,9,0,0,0,2,0,34,1,169,"256.8","0.0","0.0","25.8",272,23,575,56,557,51,372,23,"Emiliano Martínez"
"23",0,0,101184,0,0,-2,2,0,2,"0.0","0.0",0,"Calum","0.0",467,FALSE,"Knee injury - Unknown return date","2019-12-29T14:30:27.183032Z",43,"101184.jpg","3.0","Chambers","0.6",FALSE,NA,"i",1,3,42,140667,0,173873,0,"0.0","9.8","Chambers",1102,1,1,3,15,0,0,0,5,0,0,5,197,"272.0","113.5","203.0","58.7",261,103,262,74,199,41,274,87,"Calum Chambers"
"24",100,100,182539,0,0,-3,3,1,3,"2.7","2.6",2,"Daniel","2.1",469,FALSE,"","2019-11-06T17:30:16.584319Z",52,"182539.jpg","2.4","Ceballos Fernández","3.0",FALSE,NA,"a",1,3,57,1033759,0,1167278,0,"0.4","11.0","Ceballos",1687,0,2,7,21,0,0,0,1,0,0,3,310,"346.4","439.9","130.0","91.7",215,88,79,55,250,129,172,86,"Daniel Ceballos Fernández"
"25",100,100,58822,0,0,-2,2,0,2,"3.5","3.1",0,"Cédric","2.6",486,FALSE,"","2020-06-19T23:30:18.204187Z",48,"58822.jpg","2.9","Soares","0.4",FALSE,NA,"a",1,3,61,41000,0,41620,0,"0.5","12.7","Cédric",1553,1,1,4,20,0,0,0,1,0,0,3,286,"349.0","218.9","118.0","68.7",214,81,186,42,265,75,237,70,"Cédric Soares"
"26",100,100,195735,0,0,-6,6,2,3,"1.3","1.5",2,"Nicolas","1.0",488,FALSE,"","2019-12-11T12:30:12.556688Z",89,"195735.jpg","3.4","Pépé","3.0",FALSE,NA,"a",1,3,106,689014,0,853519,0,"0.1","11.9","Pépé",2004,5,6,5,30,0,0,0,4,0,0,9,353,"500.2","639.4","624.0","176.5",135,49,29,23,57,30,49,27,"Nicolas Pépé"
"27",100,100,200641,0,0,-2,2,0,3,"1.8","1.8",1,"Reiss","1.3",489,FALSE,"","2020-01-18T17:00:23.535651Z",53,"200641.jpg","1.8","Nelson","0.1",FALSE,NA,"a",1,3,30,15306,0,20711,0,"0.2","5.7","Nelson",622,1,1,2,7,0,0,0,1,0,0,0,105,"110.4","148.3","185.0","44.4",373,155,241,141,210,114,320,144,"Reiss Nelson"
"28",100,100,200089,0,0,-3,3,0,3,"1.8","1.8",1,"Joseph","1.3",490,FALSE,"","2019-09-07T11:30:17.190466Z",47,"200089.jpg","1.4","Willock","0.2",FALSE,NA,"a",1,3,41,31416,0,36008,0,"0.3","8.7","Willock",838,1,1,1,16,0,0,0,2,0,0,0,150,"176.8","165.9","212.0","55.2",329,139,224,134,188,102,282,136,"Joseph Willock"
"29",0,0,444145,0,0,-3,3,0,4,"0.0","0.0",0,"Gabriel Teodoro","0.0",504,FALSE,"Knee injury - Expected back 31 Dec","2020-06-24T13:00:17.558412Z",42,"444145.jpg","2.8","Martinelli Silva","1.8",FALSE,NA,"i",1,3,39,580876,0,557782,0,"0.0","9.3","Martinelli",656,3,1,2,9,0,0,0,1,0,0,5,129,"162.8","36.6","226.0","42.5",337,41,366,54,177,49,327,48,"Gabriel Teodoro Martinelli Silva"
"30",100,100,192895,0,0,-2,2,1,2,"3.2","4.4",11,"Kieran","3.9",515,FALSE,"","2019-12-09T22:00:21.790216Z",53,"192895.jpg","2.8","Tierney","1.1",FALSE,NA,"a",1,3,42,152178,0,129342,0,"0.7","7.9","Tierney",986,1,2,2,16,0,0,0,2,0,0,4,213,"201.8","121.1","73.0","39.8",312,120,258,71,317,107,333,118,"Kieran Tierney"
"31",100,100,223340,0,0,2,-2,0,3,"3.7","3.2",0,"Bukayo","2.7",541,FALSE,"","2020-02-02T17:00:24.409161Z",47,"223340.jpg","2.7","Saka","5.7",FALSE,NA,"a",1,3,71,947293,0,528048,0,"0.6","15.1","Saka",1746,1,6,7,18,0,0,0,6,0,0,4,259,"327.2","322.5","248.0","89.8",227,92,129,81,164,95,179,92,"Bukayo Saka"
"32",0,0,209289,0,0,-2,2,0,3,"0.0","0.0",0,"Emile","0.0",576,FALSE,"Joined Huddersfield Town on loan until the end of the season on 10/1. - Expected back 01 Aug","2020-01-10T20:00:21.634861Z",43,"209289.jpg","2.0","Smith Rowe","0.0",FALSE,NA,"n",1,3,4,5984,0,4456,0,"0.0","0.9","Smith Rowe",96,0,0,1,0,0,0,0,0,0,0,0,13,"9.8","6.3","0.0","1.6",467,195,435,197,546,217,482,202,"Emile Smith Rowe"
"33",0,0,232233,0,0,-1,1,0,4,"0.0","0.0",0,"Tyreece","0.0",585,FALSE,"Joined Lincoln City on loan until the end of the season on 10/1. - Expected back 01 Aug","2020-01-16T10:30:19.626655Z",44,"232233.jpg","0.0","John-Jules","0.0",FALSE,NA,"n",1,3,0,1056,0,875,0,"0.0","0.0","John-Jules",0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",595,78,585,79,569,77,598,78,"Tyreece John-Jules"
"34",0,0,92371,0,0,-6,6,0,2,"0.0","0.0",0,"Pablo","0.0",617,FALSE,"Ankle injury - Expected back 25 Sep","2020-06-17T22:00:17.468334Z",44,"92371.jpg","4.0","Marí","0.0",FALSE,NA,"i",1,3,8,13720,0,12437,0,"0.0","1.8","Marí",113,0,0,1,0,0,0,0,0,0,0,1,31,"27.8","1.7","0.0","3.0",445,167,457,173,556,212,467,172,"Pablo Marí"
"35",NA,NA,209037,0,0,0,0,0,2,"0.5","0.5",0,"Zech","0.0",636,FALSE,"",NA,40,"209037.jpg","0.0","Medley","0.0",FALSE,NA,"a",1,3,0,2330,0,992,0,"0.0","0.0","Medley",0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",534,198,516,199,485,190,536,198,"Zech Medley"
"36",NA,NA,113534,0,0,0,0,0,1,"0.5","0.5",0,"Matt","0.0",646,FALSE,"",NA,40,"113534.jpg","0.0","Macey","0.0",FALSE,NA,"a",1,3,0,2144,0,725,0,"0.0","0.0","Macey",0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",528,44,510,23,479,15,530,44,"Matt Macey"
"37",NA,NA,232241,0,0,0,0,0,2,"0.5","0.5",0,"Matthew","0.0",647,FALSE,"",NA,40,"232241.jpg","0.0","Smith","0.0",FALSE,NA,"a",1,3,0,1167,0,454,0,"0.0","0.0","Smith",0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",540,202,522,203,491,194,542,202,"Matthew Smith"
"38",0,0,37339,0,0,-4,4,0,2,"0.0","0.0",0,"Ahmed","1.4",22,FALSE,"Hamstring injury - Unknown return date","2020-07-21T21:30:23.752198Z",41,"37339.jpg","2.2","El Mohamady","1.0",FALSE,NA,"i",2,7,39,113346,0,177996,0,"0.3","9.5","El Mohamady",1024,1,1,2,28,0,0,0,1,0,0,7,224,"254.6","324.1","67.0","64.6",273,109,127,29,324,110,253,78,"Ahmed El Mohamady"
"39",0,0,43252,0,0,-3,3,0,2,"0.0","0.0",0,"James","0.0",23,FALSE,"Joined Stoke City on loan until the end of the season on 31/1. - Expected back 01 Aug","2020-01-31T15:00:12.372885Z",42,"43252.jpg","0.0","Chester","0.0",FALSE,NA,"n",2,7,0,2107,0,8480,0,"0.0","0.0","Chester",0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",561,210,545,211,518,204,563,210,"James Chester"
"40",100,75,47390,0,0,-3,3,0,2,"0.6","0.5",0,"Neil","0.7",24,FALSE,"","2020-07-12T16:00:17.086537Z",42,"47390.jpg","1.6","Taylor","0.2",FALSE,NA,"a",2,7,22,27109,0,32888,0,"0.2","5.2","Taylor",1088,0,0,2,25,0,0,0,2,0,0,0,163,"157.6","79.7","29.0","26.7",341,132,297,93,374,135,368,133,"Neil Taylor"
"41",100,100,123354,0,0,-1,1,1,2,"0.7","0.7",1,"Kortney","0.7",25,FALSE,"","2020-07-13T09:00:24.485275Z",44,"123354.jpg","1.9","Hause","0.1",FALSE,NA,"a",2,7,34,8119,0,9070,0,"0.2","7.7","Hause",1544,1,0,2,34,0,0,0,3,0,0,0,204,"352.8","33.0","248.0","63.4",209,78,372,132,163,25,255,80,"Kortney Hause"
"42",0,0,54764,0,0,-1,1,0,4,"0.0","0.0",0,"Jonathan","0.0",26,FALSE,"Joined Al-Gharafa on a permanent deal on 20/1.","2020-01-08T20:30:20.825750Z",54,"54764.jpg","0.8","Kodjia","0.1",FALSE,NA,"u",2,7,5,4387,0,28038,0,"0.0","0.9","Kodjia",111,0,0,0,6,0,0,0,1,0,0,0,14,"3.4","12.2","24.0","3.8",489,70,421,63,386,65,457,64,"Jonathan Kodjia"
"43",100,100,98770,0,0,-2,2,0,1,"0.3","0.3",0,"Ørjan","0.3",27,FALSE,"","2019-07-30T15:00:08.973693Z",43,"98770.jpg","2.1","Nyland","0.4",FALSE,NA,"a",2,7,15,53781,0,44171,0,"0.1","3.5","Nyland",537,0,0,1,12,0,0,0,0,0,15,0,90,"101.2","0.0","0.0","10.2",383,29,564,51,542,46,422,29,"Ørjan Nyland"
"44",100,100,85242,0,0,-3,3,2,3,"3.0","3.0",3,"Conor","3.0",28,FALSE,"","2019-12-15T13:00:22.404997Z",57,"85242.jpg","3.1","Hourihane","0.2",FALSE,NA,"a",2,7,83,21523,0,31679,0,"0.5","14.6","Hourihane",1526,3,5,6,29,0,0,0,4,0,0,9,328,"384.8","551.8","317.0","125.3",193,77,44,34,129,69,103,59,"Conor Hourihane"
"45",100,100,114283,0,0,-1,1,4,3,"2.5","3.6",10,"Jack","3.6",29,FALSE,"","2019-10-26T18:30:22.524063Z",59,"114283.jpg","4.1","Grealish","14.4",FALSE,NA,"a",2,7,149,3451403,0,2863872,0,"0.6","25.3","Grealish",3233,8,7,7,63,0,0,1,8,0,0,19,601,"826.6","1209.2","837.0","287.0",28,8,4,3,37,17,10,6,"Jack Grealish"
"46",100,100,193488,0,0,-3,3,0,3,"1.0","1.0",1,"Anwar","1.0",30,FALSE,"","2020-02-22T17:30:19.276253Z",52,"193488.jpg","2.7","El Ghazi","0.7",FALSE,NA,"a",2,7,93,309053,0,298449,0,"0.2","17.9","El Ghazi",2046,4,5,5,48,0,0,0,3,0,0,0,281,"383.2","482.2","655.0","152.0",195,78,60,44,51,27,65,37,"Anwar El Ghazi"
"47",100,100,122806,0,0,-3,3,0,3,"1.8","2.3",5,"John","2.3",31,FALSE,"","2019-12-21T17:00:13.681907Z",52,"122806.jpg","3.0","McGinn","2.6",FALSE,NA,"a",2,7,84,1421393,0,1470311,0,"0.4","16.2","McGinn",2312,3,3,6,41,0,0,0,3,0,0,4,321,"458.6","503.3","499.0","145.9",148,57,54,40,76,38,73,43,"John McGinn"
"48",0,0,174597,0,0,-2,2,0,3,"0.0","0.0",0,"Andre","0.0",32,FALSE,"Joined Charlton Athletic on loan until the end of the season on 2/1. - Expected back 01 Aug","2019-08-04T16:30:15.274646Z",48,"174597.jpg","0.0","Green","0.0",FALSE,NA,"n",2,7,0,524,0,1580,0,"0.0","0.0","Green",0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",644,264,638,265,633,265,646,266,"Andre Green"
"49",0,0,27770,0,0,0,0,0,3,"0.0","0.0",0,"Birkir","0.0",33,FALSE,"Left Aston Villa by mutual consent on 8/8.","2019-08-08T15:30:15.672945Z",45,"27770.jpg","0.0","Bjarnason","0.0",FALSE,NA,"u",2,7,0,806,0,7921,0,"0.0","0.0","Bjarnason",0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",596,231,586,232,570,226,599,234,"Birkir Bjarnason"
"50",100,100,221239,0,0,-3,3,0,3,"1.3","1.3",1,"Keinan","1.3",34,FALSE,"","2020-02-03T23:00:14.489212Z",42,"221239.jpg","1.4","Davis","0.3",FALSE,NA,"a",2,7,25,42392,0,47567,0,"0.3","6.0","Davis",534,0,1,1,7,0,0,0,0,0,0,0,43,"27.8","71.7","212.0","29.9",444,185,310,164,187,101,359,156,"Keinan Davis"
"51",100,100,40564,0,0,-1,1,0,3,"0.2","0.1",0,"Henri","0.1",35,FALSE,"","2019-11-08T18:00:15.526636Z",44,"40564.jpg","1.2","Lansbury","0.3",FALSE,NA,"a",2,7,12,69556,0,68310,0,"0.0","2.7","Lansbury",190,0,0,0,6,0,0,0,0,0,0,0,37,"13.4","27.2","13.0","5.5",462,193,390,187,408,188,449,191,"Henri Lansbury"
"52",100,100,89274,0,0,-3,3,0,3,"0.2","0.1",0,"José Ignacio","0.1",36,FALSE,"","2019-10-17T13:00:14.384046Z",57,"89274.jpg","1.7","Peleteiro Romallo","0.2",FALSE,NA,"a",2,7,17,17837,0,30851,0,"0.0","3.0","Jota",329,0,1,2,5,0,0,0,0,0,0,0,48,"47.0","56.9","73.0","17.3",425,176,335,171,318,156,401,173,"José Ignacio Peleteiro Romallo"
"53",0,0,21205,0,0,-2,2,1,1,"0.0","0.0",0,"Tom","0.0",94,FALSE,"Knee injury - Unknown return date","2020-01-01T15:00:18.235936Z",43,"21205.jpg","3.0","Heaton","2.1",FALSE,NA,"i",2,7,59,295459,0,568403,0,"0.0","13.7","Heaton",1794,0,0,4,35,1,0,0,0,0,67,3,346,"507.4","0.3","0.0","50.7",129,18,478,12,534,42,303,19,"Tom Heaton"
"54",75,75,61603,0,0,-1,1,0,3,"0.0","0.0",0,"Daniel","0.0",120,FALSE,"Muscle injury - 75% chance of playing","2020-07-17T23:30:16.075983Z",44,"61603.jpg","1.2","Drinkwater","0.5",FALSE,NA,"d",2,7,6,26169,0,142120,0,"0.0","1.4","Drinkwater",317,0,0,0,11,0,0,0,1,0,0,0,32,"18.6","21.2","8.0","4.7",452,188,402,191,422,195,453,192,"Daniel Drinkwater"
"55",100,100,169359,0,0,-2,2,1,2,"1.5","1.6",2,"Matt","1.6",309,FALSE,"","2020-06-27T15:30:23.724931Z",43,"169359.jpg","2.9","Targett","1.1",FALSE,NA,"a",2,7,80,340828,0,346225,0,"0.4","18.6","Targett",2291,1,3,5,40,0,0,0,4,0,0,10,433,"503.8","432.9","130.0","106.9",131,48,83,16,248,65,136,33,"Matt Targett"
"56",0,0,213345,0,0,-6,6,1,4,"0.0","0.0",0,"Wesley","0.0",428,FALSE,"Knee injury - Unknown return date","2020-01-01T15:00:18.798443Z",54,"213345.jpg","3.2","Moraes","0.8",FALSE,NA,"i",2,7,67,404124,0,439834,0,"0.0","12.4","Wesley",1782,5,1,6,31,0,0,1,3,0,0,7,180,"296.2","169.8","632.0","108.3",244,30,222,33,54,25,130,30,"Wesley Moraes"
"57",100,100,79852,0,0,-2,2,0,1,"0.0","0.0",0,"Jed","0.0",429,FALSE,"","2019-11-10T16:00:17.790777Z",43,"79852.jpg","1.0","Steer","0.1",FALSE,NA,"a",2,7,1,1685,0,7353,0,"0.0","0.2","Steer",7,0,0,0,0,0,0,0,0,0,0,0,3,"0.0","0.0","0.0","0.0",577,66,563,50,541,45,579,66,"Jed Steer"
"58",100,100,149484,0,0,-1,1,1,2,"3.7","3.4",2,"Tyrone","3.4",445,FALSE,"","2020-02-16T16:00:24.633178Z",44,"149484.jpg","2.7","Mings","3.3",FALSE,NA,"a",2,7,90,633337,0,561993,0,"0.8","20.5","Mings",2902,2,2,6,53,0,0,0,7,0,0,9,537,"758.0","87.3","119.0","96.6",35,9,288,87,262,72,161,42,"Tyrone Mings"
"59",100,100,199798,0,0,-2,2,1,2,"4.0","3.7",2,"Ezri","3.7",452,FALSE,"","2020-02-01T17:30:19.744514Z",43,"199798.jpg","2.6","Konsa Ngoyo","0.2",FALSE,NA,"a",2,7,65,17514,0,10777,0,"0.9","15.1","Konsa",2038,1,2,5,39,0,0,0,3,0,0,4,335,"400.6","151.8","173.0","72.8",185,67,238,63,221,52,221,63,"Ezri Konsa Ngoyo"
"60",75,25,108156,0,0,-2,2,1,2,"0.0","0.0",0,"Bjorn","0.0",455,FALSE,"Achilles injury - 75% chance of playing","2020-06-18T17:30:12.858071Z",43,"108156.jpg","2.5","Engels","0.4",FALSE,NA,"d",2,7,42,103846,0,99993,0,"0.0","9.8","Engels",1446,1,0,3,32,0,0,0,1,0,0,4,252,"329.6","31.9","81.0","44.5",226,88,373,133,304,97,319,109,"Bjorn Engels"
"61",100,100,203368,0,0,-2,2,1,2,"1.0","2.0",8,"Frédéric","2.0",458,FALSE,"","2020-06-18T17:30:12.878185Z",43,"203368.jpg","2.5","Guilbert","0.4",FALSE,NA,"a",2,7,62,105536,0,118783,0,"0.5","14.4","Guilbert",2038,0,2,6,36,0,0,0,7,0,0,4,342,"451.2","241.5","77.0","77.2",154,56,171,40,311,103,206,56,"Frédéric Guilbert"
